,width,SRR999253,SRR999254,SRR999255
1;FBtr0475186,2200,2,1,0
10;FBtr0345732,2200,18,20,17
100;FBtr0078053,2200,0,1,0
1000;FBtr0332601,2200,169,215,182
10000;FBtr0087373,2200,136,105,93
10001;FBtr0087376,2200,129,139,118
10002;FBtr0087377,2200,129,139,118
10003;FBtr0087378,2200,129,139,118
10004;FBtr0087375,2200,129,139,118
10005;FBtr0087379,2200,124,142,110
10006;FBti0063760-RA,2200,541,486,511
10007;FBtr0114456,2200,2,4,1
10008;FBtr0339998,2200,16,10,10
10009;FBti0018948-RA,2200,14,9,10
1001;FBtr0079181,2200,3,2,1
10010;FBtr0087382,2200,22,24,11
10011;FBtr0340518,2200,26,14,15
10012;FBtr0087383,2200,30,20,17
10013;FBtr0330628,2200,30,20,17
10014;FBtr0479824,2200,30,20,17
10015;FBtr0087384,2200,68,59,54
10016;FBtr0087385,2200,229,188,230
10017;FBtr0330007,2200,11,13,9
10018;FBtr0344200,2200,11,13,9
10019;FBtr0344202,2200,11,13,9
1002;FBtr0343119,2200,92,58,55
10020;FBtr0344203,2200,11,13,9
10021;FBtr0344204,2200,11,13,9
10022;FBtr0344205,2200,11,13,9
10023;FBtr0344206,2200,11,13,9
10024;FBtr0475071,2200,11,13,9
10025;FBtr0330012,2200,11,13,9
10026;FBtr0330013,2200,11,13,9
10027;FBtr0344201,2200,11,13,9
10028;FBtr0344207,2200,11,13,9
10029;FBtr0344208,2200,11,13,9
1003;FBtr0079182,2200,92,58,55
10030;FBtr0475072,2200,11,13,9
10031;FBtr0330011,2200,11,13,9
10032;FBtr0344209,2200,6,2,4
10033;FBtr0087386,2200,536,248,336
10034;FBtr0330009,2200,47,49,61
10035;FBtr0330016,2200,44,39,43
10036;FBtr0330010,2200,44,39,43
10037;FBtr0273302,2200,0,0,0
10038;FBtr0273350,2200,0,0,2
10039;FBtr0087329,2200,0,0,0
1004;FBtr0079183,2200,535,484,506
10040;FBtr0273344,2200,0,0,0
10041;FBtr0087331,2200,9,5,6
10042;FBtr0087332,2200,11,14,10
10043;FBtr0340001,2200,44,42,39
10044;FBtr0329954,2200,121,89,88
10045;FBtr0087334,2200,8,5,3
10046;FBtr0347021,2200,194,174,169
10047;FBtr0087335,2200,382,354,369
10048;FBtr0087336,2200,882,825,864
10049;FBtr0331963,2200,0,0,0
1005;FBtr0079184,2200,539,492,509
10050;FBtr0113083,2200,0,0,0
10051;FBtr0113082,2200,1,0,0
10052;FBtr0087337,2200,1,0,0
10053;FBtr0331964,2200,1,0,0
10054;FBtr0331965,2200,1,0,0
10055;FBtr0306569,2200,1,0,0
10056;FBtr0306573,2200,0,0,0
10057;FBtr0300777,2200,0,0,0
10058;FBtr0306570,2200,0,0,0
10059;FBtr0306571,2200,0,0,0
1006;FBtr0343120,2200,537,511,525
10060;FBtr0306568,2200,0,0,0
10061;FBtr0306572,2200,0,0,0
10062;FBtr0340004,2200,249,204,197
10063;FBtr0087339,2200,110,91,102
10064;FBtr0300853,2200,21,13,20
10065;FBtr0304712,2200,21,13,20
10066;FBtr0340006,2200,21,13,20
10067;FBtr0304315,2200,4,7,4
10068;FBtr0472722,2200,4,7,4
10069;FBtr0304316,2200,4,7,5
1007;FBtr0346135,2200,98,97,87
10070;FBtr0344930,2200,60,68,80
10071;FBtr0087277,2200,575,542,527
10072;FBtr0087278,2200,21,12,11
10073;FBtr0087279,2200,1,2,1
10074;FBtr0273296,2200,3,4,4
10075;FBtr0100573,2200,2,2,1
10076;FBti0063772-RA,2200,1,0,0
10077;FBtr0100642,2200,0,2,0
10078;FBtr0302528,2200,5,7,5
10079;FBtr0087284,2200,1,5,3
1008;FBtr0079185,2200,91,85,76
10080;FBtr0087285,2200,15,10,19
10081;FBtr0340007,2200,89,68,85
10082;FBtr0340013,2200,2,3,2
10083;FBtr0087287,2200,17,20,25
10084;FBtr0308815,2200,17,20,25
10085;FBtr0308814,2200,17,20,25
10086;FBtr0308816,2200,262,247,257
10087;FBtr0479949,2200,3,5,4
10088;FBtr0340012,2200,8,6,9
10089;FBtr0087290,2200,310,303,297
1009;FBtr0079186,2200,91,85,76
10090;FBtr0114558,2200,18,15,13
10091;FBtr0087199,2200,20,16,16
10092;FBtr0309737,2200,60,44,51
10093;FBtr0309736,2200,60,44,51
10094;FBtr0472832,2200,64,46,54
10095;FBtr0087201,2200,162,162,178
10096;FBtr0344193,2200,27,28,23
10097;FBtr0345223,2200,27,28,23
10098;FBtr0087202,2200,163,124,112
10099;FBtr0087203,2200,181,147,159
101;FBtr0329831,2200,0,1,0
1010;FBtr0343121,2200,91,85,76
10100;FBtr0340015,2200,188,157,177
10101;FBtr0087204,2200,134,97,109
10102;FBtr0087205,2200,44,38,26
10103;FBtr0087206,2200,362,268,290
10104;FBtr0087207,2200,249,242,229
10105;FBtr0340018,2200,249,242,229
10106;FBtr0301196,2200,255,194,209
10107;FBtr0087209,2200,56,46,65
10108;FBtr0340019,2200,56,46,65
10109;FBtr0087210,2200,536,530,573
1011;FBtr0079187,2200,118,90,94
10110;FBtr0340020,2200,536,530,573
10111;FBtr0111011,2200,82,81,77
10112;FBtr0087211,2200,155,142,118
10113;FBtr0087212,2200,155,142,118
10114;FBtr0087213,2200,155,142,118
10115;FBtr0087216,2200,155,142,118
10116;FBtr0087217,2200,201,183,157
10117;FBtr0087214,2200,286,246,231
10118;FBtr0336734,2200,943,803,843
10119;FBtr0087219,2200,754,661,682
1012;FBtr0300048,2200,272,264,234
10120;FBtr0087220,2200,754,661,682
10121;FBtr0300575,2200,754,661,682
10122;FBtr0305090,2200,754,661,682
10123;FBtr0305091,2200,754,661,682
10124;FBtr0305092,2200,754,661,682
10125;FBtr0310447,2200,754,661,682
10126;FBtr0087222,2200,676,631,691
10127;FBtr0087223,2200,5,2,11
10128;FBtr0301751,2200,4,2,8
10129;FBtr0340021,2200,4,2,8
1013;FBtr0343122,2200,1446,1256,1283
10130;FBtr0087224,2200,6,13,11
10131;FBtr0089593,2200,38,38,46
10132;FBtr0089589,2200,38,38,46
10133;FBtr0089590,2200,38,38,46
10134;FBtr0089591,2200,38,38,46
10135;FBtr0089592,2200,38,38,46
10136;FBtr0087231,2200,399,372,374
10137;FBtr0087232,2200,506,464,469
10138;FBtr0087233,2200,1576,1371,1273
10139;FBtr0087234,2200,1056,904,874
1014;FBtr0079188,2200,1446,1256,1283
10140;FBtr0302084,2200,148,117,135
10141;FBti0064236-RA,2200,84,95,92
10142;FBtr0347112,2200,19,19,15
10143;FBtr0304747,2200,67,84,56
10144;FBtr0087236,2200,67,84,56
10145;FBtr0087240,2200,81,96,72
10146;FBtr0087241,2200,46,49,41
10147;FBtr0087242,2200,298,306,256
10148;FBtr0333169,2200,100,94,87
10149;FBti0064237-RA,2200,357,330,310
1015;FBtr0343123,2200,75,67,85
10150;FBtr0339084,2200,138,90,156
10151;FBtr0339085,2200,138,90,156
10152;FBtr0303860,2200,337,237,329
10153;FBtr0339086,2200,337,237,329
10154;FBtr0339087,2200,663,529,668
10155;FBtr0087128,2200,47,36,38
10156;FBtr0087129,2200,44,37,33
10157;FBtr0332854,2200,69,72,60
10158;FBtr0087130,2200,39,42,41
10159;FBtr0087131,2200,96,71,86
1016;FBtr0343124,2200,75,67,85
10160;FBtr0087132,2200,0,0,1
10161;FBtr0089871,2200,151,115,104
10162;FBtr0089872,2200,151,115,104
10163;FBtr0087135,2200,148,148,159
10164;FBtr0344885,2200,148,148,159
10165;FBtr0345872,2200,148,148,159
10166;FBtr0087136,2200,10,12,5
10167;FBtr0087137,2200,18,25,21
10168;FBti0062562-RA,2200,0,0,0
10169;FBtr0087138,2200,0,0,0
1017;FBtr0079189,2200,76,69,83
10170;FBti0062563-RA,2200,0,0,0
10171;FBtr0087139,2200,24,29,22
10172;FBtr0087140,2200,185,156,174
10173;FBtr0299971,2200,185,156,174
10174;FBtr0340022,2200,183,156,176
10175;FBtr0340023,2200,183,156,176
10176;FBtr0087141,2200,98,78,87
10177;FBtr0329958,2200,98,78,87
10178;FBtr0345378,2200,0,1,0
10179;FBtr0345379,2200,1,0,0
1018;FBtr0079190,2200,76,69,83
10180;FBtr0344889,2200,1,0,0
10181;FBtr0112650,2200,1,0,0
10182;FBtr0087144,2200,36,44,46
10183;FBtr0087145,2200,27,24,19
10184;FBtr0340059,2200,184,177,142
10185;FBtr0087146,2200,174,171,141
10186;FBtr0087147,2200,174,171,141
10187;FBtr0087148,2200,10,16,12
10188;FBtr0087149,2200,28,25,35
10189;FBtr0087150,2200,62,55,57
1019;FBtr0079191,2200,61,74,63
10190;FBtr0340060,2200,59,55,56
10191;FBtr0308763,2200,0,0,0
10192;FBtr0087151,2200,1,0,0
10193;FBtr0087152,2200,1,0,0
10194;FBtr0087153,2200,1,0,0
