,width,SRR999253,SRR999254,SRR999255
1;NM_001110622.3,2200,0,1,0
10;NM_001258476.2,2200,40,31,37
100;NM_001272138.1,2200,147,123,148
1000;NM_167020.2,2200,8,5,11
10000;NM_143232.3,2200,0,2,0
10001;NM_170281.2,2200,0,0,0
10002;NM_143233.3,2200,0,0,0
10003;NM_170282.2,2200,0,0,0
10004;NM_143234.2,2200,0,1,0
10005;NM_143235.3,2200,0,0,0
10006;NM_143237.4,2200,15,20,27
10007;NM_143241.2,2200,20,18,21
10008;NM_170284.2,2200,20,18,21
10009;NM_170285.2,2200,20,18,21
1001;NM_131955.2,2200,8,5,11
10010;NM_144002.3,2200,64,54,68
10011;NM_001300618.1,2200,1,0,0
10012;NM_144003.4,2200,13,6,9
10013;NM_001300617.1,2200,14,7,12
10014;NM_143243.4,2200,14,8,12
10015;NM_001300619.1,2200,14,8,12
10016;NM_143245.3,2200,3,0,0
10017;NR_125274.1,2200,0,0,0
10018;NR_144652.1,2200,0,0,1
10019;NR_144651.1,2200,0,0,1
1002;NM_001297939.1,2200,18,19,16
10020;NM_170287.3,2200,29,20,12
10021;NM_001276066.2,2200,29,20,12
10022;NM_079794.3,2200,29,20,12
10023;NR_003904.1,2200,25,22,26
10024;NR_133464.1,2200,16,17,16
10025;NM_143250.3,2200,167,146,144
10026;NM_079795.3,2200,77,59,54
10027;NM_001276068.1,2200,77,59,54
10028;NM_143253.2,2200,104,118,116
10029;NM_143254.3,2200,88,81,74
1003;NM_131960.2,2200,0,2,2
10030;NM_079798.3,2200,47,37,43
10031;NM_001276070.1,2200,47,37,43
10032;NM_001104469.3,2200,19,19,21
10033;NM_001260394.2,2200,19,19,21
10034;NM_001276072.1,2200,19,19,21
10035;NM_144487.3,2200,19,19,21
10036;NM_001363935.1,2200,5,2,5
10037;NM_001363936.1,2200,5,2,5
10038;NM_143256.2,2200,371,357,353
10039;NM_143257.3,2200,31,26,30
1004;NM_131962.2,2200,0,0,0
10040;NM_001170277.2,2200,15,14,13
10041;NM_143259.3,2200,15,14,13
10042;NM_001347791.1,2200,101,116,95
10043;NM_143260.3,2200,101,116,95
10044;NM_001276074.1,2200,6,10,6
10045;NM_170300.2,2200,6,10,6
10046;NM_170301.2,2200,6,10,6
10047;NM_170302.2,2200,6,10,6
10048;NM_170303.2,2200,6,10,6
10049;NM_143262.3,2200,0,1,1
1005;NM_001169196.3,2200,17,12,9
10050;NM_001300624.1,2200,2,4,0
10051;NM_001300623.1,2200,2,4,0
10052;NM_079801.4,2200,2,4,0
10053;NM_170306.3,2200,0,0,0
10054;NM_143742.3,2200,34,23,19
10055;NM_001104471.2,2200,5,2,2
10056;NM_001276075.1,2200,25,33,23
10057;NM_001276076.1,2200,10,8,6
10058;NM_143271.3,2200,10,8,6
10059;NM_143274.2,2200,8,4,3
1006;NM_001169197.3,2200,17,12,9
10060;NM_143275.3,2200,114,98,78
10061;NM_001369985.1,2200,13,7,12
10062;NM_143277.3,2200,24,8,20
10063;NR_125275.1,2200,48,45,47
10064;NM_143280.3,2200,46,46,42
10065;NM_170317.2,2200,46,46,42
10066;NM_143282.4,2200,40,38,49
10067;NM_143283.1,2200,35,30,42
10068;NM_001170278.2,2200,342,291,302
10069;NM_001170279.2,2200,342,291,302
1007;NM_001297940.1,2200,17,12,9
10070;NM_143702.4,2200,342,291,302
10071;NM_143286.3,2200,1506,1348,1392
10072;NM_170318.3,2200,1506,1348,1392
10073;NM_143287.2,2200,103,91,97
10074;NM_001104474.1,2200,108,98,94
10075;NM_170321.3,2200,49,39,44
10076;NM_001202373.2,2200,271,256,272
10077;NM_170326.4,2200,271,256,272
10078;NM_170327.4,2200,127,113,117
10079;NM_143290.2,2200,4,6,7
1008;NM_131963.2,2200,30,27,16
10080;NR_133465.1,2200,114,106,105
10081;NM_170329.2,2200,12,12,4
10082;NM_057647.4,2200,83,74,58
10083;NM_057648.4,2200,83,74,58
10084;NR_074063.1,2200,115,124,118
10085;NM_001276082.1,2200,15,20,21
10086;NM_143294.3,2200,15,20,21
10087;NM_143295.4,2200,60,57,62
10088;NM_001104477.2,2200,180,147,166
10089;NM_170332.2,2200,180,147,166
1009;NM_131966.2,2200,83,80,67
10090;NM_170333.2,2200,180,147,166
10091;NM_170331.3,2200,249,183,227
10092;NM_143296.3,2200,249,183,227
10093;NM_143298.2,2200,12,13,9
10094;NM_057811.4,2200,168,126,157
10095;NR_125277.1,2200,1,1,0
10096;NM_143303.3,2200,0,1,0
10097;NM_001260404.1,2200,1,1,0
10098;NR_133466.1,2200,6,5,12
10099;NM_001260407.1,2200,0,0,0
101;NM_143676.2,2200,147,123,148
1010;NM_131968.5,2200,15,19,20
10100;NM_143305.3,2200,0,0,0
10101;NM_143306.3,2200,0,0,1
10102;NM_001300633.1,2200,0,0,1
10103;NM_143307.2,2200,0,0,0
10104;NM_001276083.1,2200,0,0,1
10105;NM_143310.3,2200,0,0,0
10106;NR_125279.1,2200,0,1,0
10107;NM_170334.1,2200,0,0,0
10108;NM_079807.3,2200,2,0,0
10109;NM_170335.1,2200,1,0,1
1011;NM_001297941.1,2200,15,19,20
10110;NM_080260.4,2200,183,161,173
10111;NM_001202374.2,2200,62,62,57
10112;NM_001276085.2,2200,77,73,70
10113;NM_001276086.2,2200,77,73,70
10114;NM_143316.4,2200,6,6,1
10115;NM_170344.2,2200,109,103,79
10116;NM_079809.3,2200,98,89,73
10117;NM_170343.2,2200,77,72,68
10118;NM_143319.4,2200,11,11,7
10119;NM_001276093.1,2200,26,27,33
1012;NM_001103409.2,2200,32,39,37
10120;NM_001276094.1,2200,26,27,33
10121;NM_001276095.1,2200,26,27,33
10122;NM_001276096.1,2200,26,27,33
10123;NM_143320.4,2200,26,27,33
10124;NM_143321.3,2200,358,367,355
10125;NM_143322.2,2200,233,159,179
10126;NM_143323.4,2200,0,1,3
10127;NM_001260411.1,2200,20,18,19
10128;NM_001276097.2,2200,0,1,0
10129;NM_143324.3,2200,4,4,3
1013;NM_001297942.1,2200,32,39,37
10130;NM_001276098.1,2200,248,233,204
10131;NM_079810.5,2200,246,232,203
10132;NM_001276099.1,2200,246,232,203
10133;NM_170350.2,2200,237,227,193
10134;NM_001038984.3,2200,87,76,72
10135;NM_079811.4,2200,24,23,22
10136;NM_001300641.1,2200,5,9,12
10137;NA,2200,6,0,3
10138;NM_079812.2,2200,4,0,4
10139;NM_143335.2,2200,0,0,0
1014;NM_131970.1,2200,64,55,61
10140;NM_079813.3,2200,96,71,88
10141;NM_079814.3,2200,471,385,399
10142;NR_003905.1,2200,1333,1131,1158
10143;NM_143340.4,2200,1895,1620,1622
10144;NM_001260414.2,2200,1484,1226,1254
10145;NM_170358.2,2200,52,50,38
10146;NM_170359.3,2200,52,50,38
10147;NM_143342.2,2200,43,37,37
10148;NM_001170280.2,2200,50,34,44
10149;NM_001276101.1,2200,50,34,44
1015;NM_001297943.1,2200,72,54,64
10150;NM_001276102.1,2200,50,34,44
10151;NM_170361.3,2200,50,34,44
10152;NM_143344.3,2200,188,187,176
10153;NM_143346.3,2200,40,27,25
10154;NA,2200,1,0,2
10155;NM_143348.4,2200,2,1,0
10156;NR_156785.1,2200,0,0,0
10157;NM_001170283.3,2200,9,15,9
10158;NM_001300644.1,2200,69,70,68
10159;NM_143352.4,2200,69,70,68
1016;NM_167024.3,2200,69,71,64
10160;NM_001276103.1,2200,69,70,68
10161;NM_001276104.1,2200,69,70,68
10162;NR_133470.1,2200,0,0,0
10163;NM_001104483.3,2200,19,26,20
10164;NM_001170284.3,2200,19,26,20
10165;NM_001316621.1,2200,19,26,20
10166;NM_001170285.3,2200,19,26,20
10167;NR_133473.1,2200,7,4,3
10168;NM_001104484.2,2200,0,0,0
10169;NM_001104485.1,2200,1,1,4
1017;NM_001297946.1,2200,69,71,64
10170;NM_080160.3,2200,1,0,0
10171;NM_079815.3,2200,1,0,1
10172;NM_143357.3,2200,0,0,0
10173;NR_133475.1,2200,128,118,101
10174;NM_001170287.3,2200,116,89,85
10175;NM_143361.6,2200,116,89,85
10176;NM_170367.3,2200,116,89,85
10177;NM_079816.4,2200,0,0,0
10178;NM_143362.3,2200,33,31,32
10179;NM_001276106.1,2200,33,31,32
1018;NM_001169198.2,2200,69,71,64
10180;NM_143363.3,2200,0,0,0
10181;NM_001170288.1,2200,0,0,0
10182;NM_079817.3,2200,0,0,0
