,width,SRR999253,SRR999254,SRR999255
1,201,0,1,0
10,588,1,0,2
100,166,51,53,66
1000,1713,591,588,636
10000,313,252,256,243
100000,142,3,5,1
100001,142,3,5,1
100002,322,4,8,4
100003,105,1,2,3
100004,105,1,2,3
100005,217,6,11,8
100006,806,40,38,33
100007,806,40,38,33
100008,1514,79,79,80
100009,1207,0,0,0
10001,2992,3781,3848,3960
100010,918,0,0,0
100011,1138,59,46,53
100012,211,8,10,5
100013,607,172,176,169
100014,607,172,176,169
100015,964,310,294,308
100016,964,310,294,308
100017,1125,504,494,487
100018,2058,1074,1014,1037
100019,57,13,13,10
10002,4853,5651,5764,5840
100020,57,13,13,10
100021,57,13,13,10
100022,57,13,13,10
100023,113,13,18,12
100024,378,17,22,18
100025,389,103,84,81
100026,389,103,84,81
100027,389,103,84,81
100028,389,103,84,81
100029,389,103,84,81
10003,643,1199,1236,1290
100030,389,103,84,81
100031,173,49,44,41
100032,138,47,47,40
100033,138,47,47,40
100034,138,47,47,40
100035,138,47,47,40
100036,138,47,47,40
100037,138,47,47,40
100038,138,47,47,40
100039,81,23,21,27
10004,643,1199,1236,1290
100040,81,23,21,27
100041,81,23,21,27
100042,81,23,21,27
100043,81,23,21,27
100044,81,23,21,27
100045,81,23,21,27
100046,192,38,39,31
100047,192,38,39,31
100048,192,38,39,31
100049,192,38,39,31
10005,643,1199,1236,1290
100050,192,38,39,31
100051,192,38,39,31
100052,192,38,39,31
100053,61,27,25,20
100054,61,27,25,20
100055,61,27,25,20
100056,61,27,25,20
100057,61,27,25,20
100058,61,27,25,20
100059,714,43,40,38
10006,692,26,20,28
100060,55,14,19,14
100061,2420,918,733,856
100062,2420,918,733,856
100063,2420,918,733,856
100064,2619,940,763,884
100065,1393,199,186,207
100066,1393,199,186,207
100067,1393,199,186,207
100068,79,17,16,24
100069,79,17,16,24
10007,692,26,20,28
100070,79,17,16,24
100071,79,17,16,24
100072,79,17,16,24
100073,79,17,16,24
100074,224,49,55,67
100075,224,49,55,67
100076,224,49,55,67
100077,265,137,129,134
100078,265,137,129,134
100079,265,137,129,134
10008,692,26,20,28
100080,147,116,102,113
100081,147,116,102,113
100082,147,116,102,113
100083,147,116,102,113
100084,147,116,102,113
100085,147,116,102,113
100086,523,324,340,387
100087,523,324,340,387
100088,523,324,340,387
100089,523,324,340,387
10009,186,1,1,2
100090,523,324,340,387
100091,523,324,340,387
100092,523,324,340,387
100093,523,324,340,387
100094,523,324,340,387
100095,87,0,0,0
100096,1078,2,5,2
100097,212,76,103,75
100098,212,76,103,75
100099,212,76,103,75
1001,1713,591,588,636
10010,279,23,18,14
100100,212,76,103,75
100101,212,76,103,75
100102,212,76,103,75
100103,212,76,103,75
100104,212,76,103,75
100105,212,76,103,75
100106,62,0,0,1
100107,620,180,175,193
100108,620,180,175,193
100109,620,180,175,193
10011,279,23,18,14
100110,620,180,175,193
100111,620,180,175,193
100112,620,180,175,193
100113,620,180,175,193
100114,620,180,175,193
100115,620,180,175,193
100116,620,180,175,193
100117,220,81,102,80
100118,220,81,102,80
100119,220,81,102,80
10012,279,23,18,14
100120,220,81,102,80
100121,220,81,102,80
100122,220,81,102,80
100123,220,81,102,80
100124,220,81,102,80
100125,220,81,102,80
100126,412,156,193,152
100127,135,75,90,71
100128,135,75,90,71
100129,135,75,90,71
10013,148,3,3,5
100130,135,75,90,71
100131,135,75,90,71
100132,135,75,90,71
100133,135,75,90,71
100134,135,75,90,71
100135,135,75,90,71
100136,736,313,322,311
100137,736,313,322,311
100138,736,313,322,311
100139,736,313,322,311
10014,187,3,3,8
100140,736,313,322,311
100141,736,313,322,311
100142,736,313,322,311
100143,736,313,322,311
100144,736,313,322,311
100145,736,313,322,311
100146,215,101,83,95
100147,215,101,83,95
100148,215,101,83,95
100149,215,101,83,95
10015,1686,71,63,71
100150,215,101,83,95
100151,215,101,83,95
100152,215,101,83,95
100153,215,101,83,95
100154,215,101,83,95
100155,215,101,83,95
100156,171,51,57,44
100157,171,51,57,44
100158,171,51,57,44
100159,171,51,57,44
10016,1686,71,63,71
100160,171,51,57,44
100161,171,51,57,44
100162,171,51,57,44
100163,171,51,57,44
100164,171,51,57,44
100165,171,51,57,44
100166,194,89,68,86
100167,194,89,68,86
100168,194,89,68,86
100169,194,89,68,86
10017,1686,71,63,71
100170,194,89,68,86
100171,194,89,68,86
100172,194,89,68,86
100173,194,89,68,86
100174,194,89,68,86
100175,194,89,68,86
100176,103,38,37,49
100177,103,38,37,49
100178,103,38,37,49
100179,103,38,37,49
10018,86,8,13,6
100180,103,38,37,49
100181,103,38,37,49
100182,103,38,37,49
100183,103,38,37,49
100184,103,38,37,49
100185,103,38,37,49
100186,129,60,57,64
100187,129,60,57,64
100188,129,60,57,64
100189,129,60,57,64
10019,86,8,13,6
100190,129,60,57,64
100191,129,60,57,64
100192,129,60,57,64
100193,129,60,57,64
100194,129,60,57,64
100195,1577,315,319,341
100196,15,6,3,1
100197,243,61,84,84
100198,243,61,84,84
100199,243,61,84,84
1002,1713,591,588,636
10020,86,8,13,6
100200,243,61,84,84
100201,243,61,84,84
100202,243,61,84,84
100203,243,61,84,84
100204,243,61,84,84
100205,243,61,84,84
100206,2135,723,713,730
100207,2135,723,713,730
100208,2135,723,713,730
100209,2135,723,713,730
10021,86,8,13,6
100210,2135,723,713,730
100211,2135,723,713,730
100212,2135,723,713,730
100213,2135,723,713,730
100214,2135,723,713,730
100215,2135,723,713,730
100216,328,121,131,135
100217,328,121,131,135
100218,328,121,131,135
100219,328,121,131,135
10022,86,8,13,6
100220,328,121,131,135
100221,328,121,131,135
100222,328,121,131,135
100223,328,121,131,135
100224,328,121,131,135
100225,328,121,131,135
100226,101,37,37,48
100227,101,37,37,48
100228,101,37,37,48
100229,101,37,37,48
10023,86,8,13,6
100230,101,37,37,48
100231,101,37,37,48
100232,101,37,37,48
100233,101,37,37,48
100234,101,37,37,48
100235,101,37,37,48
100236,175,75,86,96
100237,175,75,86,96
100238,175,75,86,96
100239,175,75,86,96
10024,226,10,16,11
100240,175,75,86,96
100241,175,75,86,96
100242,175,75,86,96
100243,175,75,86,96
100244,175,75,86,96
100245,1811,575,560,608
100246,297,163,140,163
100247,297,163,140,163
100248,297,163,140,163
100249,297,163,140,163
10025,226,10,16,11
100250,297,163,140,163
100251,297,163,140,163
100252,297,163,140,163
100253,297,163,140,163
100254,297,163,140,163
100255,155,85,76,100
100256,155,85,76,100
100257,155,85,76,100
100258,155,85,76,100
100259,155,85,76,100
10026,226,10,16,11
100260,155,85,76,100
100261,155,85,76,100
100262,155,85,76,100
100263,155,85,76,100
100264,134,37,59,53
100265,134,37,59,53
100266,134,37,59,53
100267,134,37,59,53
100268,134,37,59,53
100269,134,37,59,53
10027,226,10,16,11
100270,134,37,59,53
100271,134,37,59,53
100272,134,37,59,53
100273,670,308,276,299
100274,670,308,276,299
100275,670,308,276,299
100276,670,308,276,299
100277,670,308,276,299
100278,670,308,276,299
100279,670,308,276,299
10028,226,10,16,11
100280,670,308,276,299
100281,670,308,276,299
100282,1137,456,445,454
100283,360,135,158,138
100284,360,135,158,138
100285,360,135,158,138
100286,360,135,158,138
100287,360,135,158,138
100288,360,135,158,138
100289,360,135,158,138
10029,226,10,16,11
100290,360,135,158,138
100291,360,135,158,138
100292,109,45,50,51
100293,109,45,50,51
100294,109,45,50,51
100295,109,45,50,51
100296,109,45,50,51
100297,109,45,50,51
100298,109,45,50,51
100299,109,45,50,51
1003,900,313,386,364
10030,750,64,59,66
100300,109,45,50,51
100301,109,45,50,51
100302,182,73,82,89
100303,182,73,82,89
100304,182,73,82,89
100305,182,73,82,89
100306,182,73,82,89
100307,182,73,82,89
100308,182,73,82,89
100309,182,73,82,89
10031,750,64,59,66
100310,182,73,82,89
100311,182,73,82,89
100312,101,20,15,28
100313,119,42,34,29
100314,119,42,34,29
100315,119,42,34,29
100316,119,42,34,29
100317,119,42,34,29
100318,119,42,34,29
100319,119,42,34,29
10032,750,64,59,66
100320,119,42,34,29
100321,162,42,37,56
100322,210,56,62,68
100323,258,72,84,82
100324,258,72,84,82
100325,258,72,84,82
100326,258,72,84,82
100327,258,72,84,82
100328,258,72,84,82
100329,258,72,84,82
10033,750,64,59,66
100330,258,72,84,82
100331,2618,1533,1426,1531
100332,2618,1533,1426,1531
100333,2618,1533,1426,1531
100334,2618,1533,1426,1531
100335,2618,1533,1426,1531
100336,2618,1533,1426,1531
100337,2618,1533,1426,1531
100338,2618,1533,1426,1531
100339,2618,1533,1426,1531
10034,750,64,59,66
100340,4030,2749,2568,2713
100341,91,0,0,0
100342,323,56,29,53
100343,302,56,29,53
100344,302,56,29,53
100345,302,56,29,53
100346,83,15,11,14
100347,83,15,11,14
100348,83,15,11,14
100349,83,15,11,14
10035,750,64,59,66
100350,262,41,42,25
100351,244,39,42,24
100352,244,39,42,24
100353,244,39,42,24
100354,413,32,41,51
100355,499,46,52,62
100356,499,46,52,62
100357,410,32,41,51
100358,1025,9,17,18
100359,499,6,6,5
10036,111,6,8,9
100360,114,4,0,0
100361,114,4,0,0
100362,254,7,10,7
100363,254,7,10,7
100364,758,65,51,43
100365,758,65,51,43
100366,758,65,51,43
100367,276,17,18,17
100368,276,17,18,17
100369,276,17,18,17
10037,111,6,8,9
100370,928,48,52,51
100371,928,48,52,51
100372,928,48,52,51
100373,556,42,47,43
100374,556,42,47,43
100375,556,42,47,43
100376,423,35,25,26
100377,423,35,25,26
100378,420,35,25,26
100379,195,23,21,19
10038,111,6,8,9
100380,195,23,21,19
100381,195,23,21,19
100382,689,72,70,58
100383,689,72,70,58
100384,689,72,70,58
100385,1429,127,128,97
100386,2126,139,143,106
100387,2625,139,143,106
100388,69,0,0,0
100389,390,63,49,54
10039,111,6,8,9
100390,390,63,49,54
100391,388,63,49,54
100392,165,47,35,36
100393,296,73,51,61
100394,296,73,51,61
100395,251,25,36,33
100396,251,25,36,33
100397,196,19,26,28
100398,511,2,0,1
100399,1144,336,226,296
1004,900,313,386,364
10040,111,6,8,9
100400,44,3,1,4
100401,283,127,86,85
100402,283,127,86,85
100403,92,41,30,25
100404,92,41,30,25
100405,228,95,66,87
100406,228,95,66,87
100407,273,76,66,60
100408,273,76,66,60
100409,592,232,163,202
10041,111,6,8,9
100410,592,232,163,202
100411,547,167,144,150
100412,547,167,144,150
100413,116,34,32,31
100414,116,34,32,31
100415,74,48,26,35
100416,74,48,26,35
100417,782,438,391,357
100418,782,438,391,357
100419,350,210,164,151
10042,870,83,85,69
100420,350,210,164,151
100421,1141,578,611,606
100422,2792,608,637,635
100423,303,68,86,64
100424,303,68,86,64
100425,303,68,86,64
100426,120,54,45,47
100427,120,54,45,47
100428,120,54,45,47
100429,682,154,132,158
10043,870,83,85,69
100430,682,154,132,158
100431,682,154,132,158
100432,263,13,11,14
100433,269,13,11,15
100434,939,179,207,213
100435,939,179,207,213
100436,1327,196,228,235
100437,239,0,0,0
100438,1410,1,1,0
100439,72,3,1,0
10044,870,83,85,69
100440,72,2,0,1
100441,72,1,0,0
100442,105,0,0,0
100443,78,0,0,0
100444,277,0,0,0
100445,393,0,0,0
100446,360,3,2,1
100447,462,3,3,1
100448,192,1,1,2
100449,192,1,1,2
10045,870,83,85,69
100450,271,2,2,2
100451,271,2,2,2
100452,261,1,0,0
100453,261,1,0,0
100454,378,3,5,5
100455,378,3,5,5
100456,2158,12,17,17
100457,4033,16,23,29
100458,540,0,0,0
100459,520,0,0,0
10046,2126,152,147,126
100460,244,0,0,0
100461,127,25,30,19
100462,181,39,35,36
100463,181,39,35,36
100464,259,46,59,44
100465,259,46,59,44
100466,408,76,72,88
100467,408,76,72,88
100468,2047,113,125,123
100469,586,99,107,113
10047,2126,152,147,126
100470,586,99,107,113
100471,586,99,107,113
100472,586,99,107,113
100473,168,85,72,58
100474,168,85,72,58
100475,168,85,72,58
100476,168,85,72,58
100477,168,85,72,58
100478,156,69,55,59
100479,156,69,55,59
10048,347,0,0,0
100480,156,69,55,59
100481,156,69,55,59
100482,156,69,55,59
100483,112,41,36,32
