,width,SRR999253,SRR999254,SRR999255
128up,1304,101,87,86
14-3-3epsilon,3366,6102,5668,5740
14-3-3zeta,3637,13380,12753,12865
140up,1200,87,67,68
18SrRNA-Psi:CR41602,1975,876,558,579
18SrRNA-Psi:CR45861,1934,4672,3029,3442
18SrRNA:CR41548,1995,9371,7200,7666
18SrRNA:CR45838,1995,1282,598,1272
18SrRNA:CR45841,1995,1498,286,794
18w,5422,736,688,692
26-29-p,1872,659,548,576
28SrRNA-Psi:CR40596,2775,1918,2756,809
28SrRNA-Psi:CR40741,1258,1023,832,852
28SrRNA-Psi:CR41609,895,1766,1199,1338
28SrRNA-Psi:CR45848,821,813,396,510
28SrRNA-Psi:CR45851,1721,868,515,827
28SrRNA-Psi:CR45853,255,5,5,5
28SrRNA-Psi:CR45855,704,490,326,205
28SrRNA-Psi:CR45859,2689,1303,1312,507
28SrRNA-Psi:CR45860,357,1944,479,613
28SrRNA-Psi:CR45862,2004,12604,4529,2597
28SrRNA:CR45837,2715,5469,4075,4306
28SrRNA:CR45844,3970,13325,12213,6184
2mit,8905,2110,2127,2149
2SrRNA-Psi:CR40677,30,0,0,0
2SrRNA-Psi:CR45850,30,0,0,0
2SrRNA-Psi:CR45858,30,0,0,0
2SrRNA:CR45836,30,0,0,0
2SrRNA:CR45840,30,0,0,0
2SrRNA:CR45843,30,0,0,0
2SrRNA:CR45864,30,0,0,0
312,1618,43,56,63
4E-T,3691,836,771,728
5-HT1A,5019,526,525,504
5-HT1B,4026,210,197,215
5-HT2A,5410,791,772,783
5-HT2B,6333,151,178,172
5-HT7,4486,193,202,223
5.8SrRNA-Psi:CR45849,123,0,1,0
5.8SrRNA-Psi:CR45854,123,159,43,28
5.8SrRNA-Psi:CR45857,123,23,6,18
5.8SrRNA-Psi:CR45863,123,33,1,5
5.8SrRNA:CR40454,123,1175,599,610
5.8SrRNA:CR45839,123,29,62,165
5.8SrRNA:CR45842,123,4,121,70
5.8SrRNA:CR45852,123,3,2,1
5PtaseI,3313,345,268,314
5SrRNA-Psi:CR33356,143,0,0,0
5SrRNA-Psi:CR33363,144,1,0,1
5SrRNA-Psi:CR33371,137,0,0,0
5SrRNA-Psi:CR33416,143,0,0,0
5SrRNA:CR33353,135,0,0,0
5SrRNA:CR33354,135,0,0,0
5SrRNA:CR33355,135,0,0,0
5SrRNA:CR33357,135,0,0,0
5SrRNA:CR33358,135,0,0,0
5SrRNA:CR33359,135,0,0,0
5SrRNA:CR33360,135,0,0,0
5SrRNA:CR33361,135,0,0,0
