,width,SRR999253,SRR999254,SRR999255
FBgn0000003,299,150,172,228
FBgn0000008,5414,213,210,221
FBgn0000014,5477,1,1,0
FBgn0000015,11791,1,0,1
FBgn0000017,12819,1345,1380,1416
FBgn0000018,1794,19,28,25
FBgn0000022,917,0,0,0
FBgn0000024,8473,4220,3929,4164
FBgn0000028,4433,130,134,164
FBgn0000032,2024,127,117,107
FBgn0000036,11027,1799,1824,1950
FBgn0000037,5425,728,704,641
FBgn0000038,2974,2177,2287,2406
FBgn0000039,2387,294,285,277
FBgn0000042,2978,8835,7636,7513
FBgn0000043,1626,399,315,335
FBgn0000044,1724,17904,15965,16696
FBgn0000045,1619,632,709,687
FBgn0000046,1989,1565,1305,1395
FBgn0000047,1595,89,80,101
FBgn0000052,4434,767,524,547
FBgn0000053,4780,1144,871,948
FBgn0000055,2254,15027,12849,12882
FBgn0000056,2116,14980,12807,12836
FBgn0000057,2291,172,153,127
FBgn0000061,1806,0,3,1
FBgn0000063,2141,19,31,27
FBgn0000064,3809,8941,8412,8384
FBgn0000071,1946,21,8,17
FBgn0000075,2224,104,89,115
FBgn0000077,1422,50,50,49
FBgn0000078,1606,125,101,89
FBgn0000079,1668,139,85,86
FBgn0000083,2073,1195,1087,1082
FBgn0000084,1247,472,375,401
FBgn0000092,1013,424,282,343
FBgn0000094,373,0,0,0
FBgn0000097,5454,1021,858,945
FBgn0000100,1328,2173,1838,1825
FBgn0000108,6383,7188,7552,7913
FBgn0000109,1021,49,30,38
FBgn0000114,7791,813,705,751
FBgn0000115,863,110,109,99
FBgn0000116,3504,7597,7894,7444
FBgn0000117,3564,2242,1989,1995
FBgn0000119,6024,416,371,384
FBgn0000120,2476,22331,20007,20188
FBgn0000121,1547,24842,21446,21370
FBgn0000137,2430,0,1,0
FBgn0000139,2235,93,87,91
FBgn0000140,6338,2,2,4
FBgn0000146,3015,5,7,7
FBgn0000147,1577,13,21,11
FBgn0000150,727,758,668,683
FBgn0000152,2575,188,142,143
FBgn0000153,2135,189,142,124
FBgn0000157,3309,133,129,136
FBgn0000158,1946,0,0,0
FBgn0000163,10881,851,778,855
FBgn0000166,2536,2,1,1
FBgn0000173,2072,1178,1049,1103
FBgn0000179,6095,330,343,345
FBgn0000180,3276,84,60,59
FBgn0000181,1546,1155,1037,1004
FBgn0000182,4547,0,0,0
FBgn0000183,5498,1124,1030,1094
FBgn0000206,3013,1782,1466,1608
FBgn0000212,5597,684,632,673
FBgn0000216,532,0,0,0
FBgn0000221,1450,26,23,20
FBgn0000227,1352,0,0,0
FBgn0000228,4953,598,459,539
FBgn0000229,2018,838,772,834
FBgn0000233,2934,4,8,4
FBgn0000239,3116,598,535,581
FBgn0000241,2738,199,178,186
FBgn0000244,4774,388,437,392
